,p
16_26,This is necessary to ensure that all aspects of culture and tradition get the required support as well as to coordinate the efforts made by various sectors.
16_25,"Overall, a plan or framework which brings together in one place all aspects of culture and traditions as well as the gaps and challenges is lacking"
7_76,"Although Bhutan has significant deposits of a number of mineral resources, including limestone, coal, graphite, gypsum, slate and dolomite, most mining activities are limited to relatively small operations and mainly involve the above minerals"
12_4,Department of Engineering Services (DES): DES was created in 2011 by bifurcating the erstwhile Department of Urban Development and Engineering Services (DUDES) into Department of Engineering Services (DES) and Department of Human Settlement (DHS)
16_28,Those still practicing today are a small group of elderly people and together with them these traditions may also pass away one day
17_99,Water security will be strengthened through the development of integrated water resource management plan and better coordination
7_75,"The sector is, therefore, still underdeveloped"
17_46,"Maximum permissible standard limit of faecal coliforms as recommended for Bhutan at final effluent from a sewerage treatment plant (STP) is 1,000 MPN/100 ml water"
14_33,If mild disability was excluded then the prevalence of moderate or severe disability clubbed together was about three (2.7) percent
7_74,Mining - Bhutan has pursued mining activities cautiously bearing in mind the social and environmental consequences
7_44,Bhutan is also negotiating trade agreement with Nepal
7_73,The industry sector's contribution to GDP was the highest averaging around 40 percent per annum over the last five years with manufacturing sector contributing 10 percent.
7_72,1.22 billion for the 115 MW Dagachhu hydropower project.
8_36,5.8.3  Sector Key Result Areas
8_37,5.8.4  Strategies
8_34,The combined volume of water from these two lakes are projected to produce about 53 million cubic metres which would cause a flood three times more powerful than the 1994 flood in Punakha from Luggye lake
8_35,"However, the risk has been reduced substantially after the mitigation works undertaken in the Tenth Plan."
8_32,The report indicates that the two lakes are about 30 meters apart separated by a shrinking moraine dam
7_71,"Banking accounts for the largest share of FDI, with the International Finance Corporation (IFC) buying a 20 percent stake in the Bhutan National Bank, followed by the hydropower sector with foreign investment of Nu"
8_30,"Glacial Lake Outburst Floods (GLOF) - Bhutan is home to 677 glaciers and 2,674 glacial lakes (Second National Communication, 2011)"
8_31,"A recent study by Japan International Cooperation Agency (JICA) revealed that there are 2 potentially dangerous lakes, Thorthormi and Raphstreng, contrary to the figure of 25 lakes reported by International Center for Integrated Mountain Development (ICMOD) in 2001."
9_19,"Infrastructure: Under the National Broadband Master plan project, optical fibers have currently reached all 20 Dzongkhags and 174 Gewogs"
7_70,"The key sources of FDI into Bhutan are from India, Hong Kong, USA, Japan, Singapore, Samoa, France, and Vietnam"
8_38,Enhancing institutional and human capacity will be a critical strategy
8_39,"The energy sector's capacity to design, build, operate and manage hydropower projects will be developed through human resource development"
17_89,It is estimated that annual crop loss ranges from 0.3 to 18 percent of the total household income
7_45,"For the year 2011, the value of Bhutan's export to and import from Nepal were Nu"
13_38,"The proportion of households that own their dwellings is below 60 percent in only three other Dzongkhags: Chhukha (43 percent), Sarpang (52 percent), and Paro (58 percent)"
3_37,"However, this does not apply to HR that has been already programmed with firm resources mentioned above."
3_36,"For individuals accessing international scholarships through open competitions, unlike past practice of adjusting such trainings against HRD master plan slots, can pursue it without requiring necessary adjustments"
3_35,All definite and firm resources will be earmarked and programmed for critical HR requirements
3_34,The support to private sector will mainly be in terms of short-term vocational skills and entrepreneurship skills training.
3_33,"In terms of human resource development, the focus will be on creating skills and knowledge to achieve the objectives of EDP 2010, with an emphasis on addressing the acute shortage of skilled professionals such as doctors, educationists, engineers, architects and ICT specialists"
3_32,"In order to improve performance and efficiency of the civil service, civil services rules and regulation, processes and systems will be reviewed and updated."
3_31,5.3.4  Strategies
3_30,The key result areas will be based on RCSC's Human Resource Development Master Plan for civil service and Ministry of Labour and Human Resources' HRD Plan for Private Sector.
7_47,138.89 million respectively.
17_32,"There are four major river basins, viz"
3_39,"2 billion allocated for Human Resource Development, Nu"
3_38,From the total of Nu
13_32,BLSS 2012 reports that 85 percent of the households in the rural areas lived in houses whereas almost three-fourths of urban households (73 percent) lived either in part of a house or in an apartment
18_16,"In the area of inheritance, traditional customs favour women who have greater access to land and ownership."
11_28,"Institutional and human resource development will be one key strategy to strengthen the capacity of road sector to plan, design, build and maintain road network"
11_29,"To reduce travel time and costs and to enhance road safety, road specifications and standards will be improved and geometric improvements and regular maintenance of road will be carried out"
11_26,5.11.3 Sector Key Result Areas
11_27,5.11.4 Strategies
11_24,13 billion
11_25,"The ADB's Country Diagnostic Study 2012 estimates that while the density of road has doubled from about 1.5 km/km in 2005 to 3 km/km in 2011, the percentage of paved roads have decreased from about 55 percent to about 35 percent during the same period."
11_22,"To improve access particularly in rural areas, extensive network of Gewog Connectivity roads have been constructed and many of these roads are unpaved"
11_23,"A preliminary assessment of blacktopping about 2,000 kilometers of Gewog Connectivity roads would cost about Nu"
11_20,"With increase in traffic volume, road safety has become a growing challenge."
11_21,"Additionally, financial sustainability in terms of improving the specification of the existing roads, maintenance costs and blacktopping cost of unpaved roads is another challenge"
2_18,"The total manpower in the health sector is 4,280, of which 194 are doctors, 736 nurses, 1,543 other category of health workers and 1,807 administrative and support staff."
2_19,"The enactment of the University of Medical Sciences of Bhutan (UMSB) Act and its establishment in 2012, is a major initiative of the Health Sector towards providing in-country professional medical education and, thereby, addressing the critical shortage of health and allied professionals."
2_12,The number of HIV/AIDS detected cases has increased from 38 in 2000 to 321 in 2013.
2_13,Health coverage is estimated at 90 percent
2_10,"Bhutan is on track to achieve MDG targets related to child mortality, improving maternal health and halting/reversing spread of TB and malaria"
2_11,The lack of progress on HIV/AIDS remains a concern
2_16,There is one
2_17,Indigenous Hospital and 48 Indigenous Unit providing Sowa Rigpa services
2_14,"Currently there are three health facilities for every 10,000 persons"
2_15,"There are 31 hospitals, 14 BHU I, 178 BHU II and 550 outreach clinics providing modern health services"
13_64,"Given the limited resources of the government, partnership with private sector for the provision of low-cost housing will also be explored."
13_65,5.13.5 Key Programmes
13_66,Enhancing human settlement in Bhutan: The development of settlement has been accorded high priority in past plans but the efforts were mostly concentrated in urban areas
13_67,"With the creation of the Department of Human Settlement (DHS), focus will be accorded equally to both urban and rural settlements"
13_60,"Capacity strengthening of engineers, architects and planners will be given emphasis."
8_40,"Since hydro-meteorological services play an important role in development of hydroelectric projects, capacity to collect, analyses and interpret hydro-meteorological data will be strengthened"
13_62,"Over the next five years, about 800 new units of low income housing for rental will be constructed across the country"
13_63,"To promote homeownership, about 100 units will be constructed which will be allotted to low income civil servants based on modalities such as direct purchase, lease, and purchase and installment payment basis depending on the purchasing capacity of the beneficiaries"
10_24,Druk Air provides international and domestic air services with a fleet of three A319 and one ATR 42-500
13_36,About one-fifth of urban dwellings are owned by the government and public corporations.
13_68,"The major activities in the Eleventh Plan are development of valley development plans, urban development plans and rural development plans"
13_69,The environment and disaster resilient aspects will be incorporated while developing the structural and local area plans.
7_20,"After India, the other major trading partners include Bangladesh, Thailand, Japan, South Korea, Hong Kong and Singapore"
7_21,"The main items of export were agro products (apples, oranges, mushrooms, cordyceps) and the main items of imports were vehicles (22 percent of total imports in 2011), machinery and mechanical appliances (42 percent of total imports in 2011)."
7_22,The wholesale and retail trade's share of GDP averaged around 6 percent during the last five years and created an employment of 3.8 percent in 2012
7_23,The trade sector's contribution to national revenue increased from Nu
7_24,"2,789 m (19 percent of total revenue) in 2008-09 to Nu"
7_25,"7,166 m (34 percent of total revenue) in 2011-1243"
7_26,"The increase is attributed to higher remittances from excise duty refund, sales tax collections from goods and alcoholic products, customs duty, and corporate and business tax from trading units."
7_27,"Trade with India is based on a Free Trade and Commerce Agreement between the two countries, that was renewed in 2006 for ten years"
7_28,"With Bangladesh, which is one of the top three export destinations, Bhutan has a Preferential Trade Agreement that was renewed in 2009 for five years"
7_29,The current trading arrangement allows duty/ tax free access to 18 exportable items from Bhutan to Bangladesh
1_10,"The school-based education structure comprises of 11 years of free basic education from classes Pre Primary to X, divided into 7 years of primary education (PP-VI), starting at the age of 6, and 4 years of Secondary Education (VII-X)"
6_29,5.6.2  Key Challenges
6_28,"The top 12 tour operators accounted for 41.46 percent of total arrivals with the highest number of tourists managed by a single operator of 4,159 visitors."
6_23,"The tourism package covers the cost of accommodation in a '3-Star' and above category hotel, local guide and transportation, and three meals"
6_22,The tourist arrivals in Trashigang and Samdrup Jongkhar have improved significantly as a result of opening of Merak Sakteng trek and also use of Samdrup Jongkhar as an entry point from the south-east.
6_21,However this is likely to change in the coming years with the Royal Manas National Park being open to tourism
6_20,This is due to lack of tourism products in these Dzongkhags
6_27,"In terms of tour operators, there were 741 registered local tour operators, of which 318 were operational"
6_26,The annual occupancy rates was highest in the '3-Star' category with 34.46 percent followed by '5-Star'.
6_25,Accommodation classified as '2-Star' and below have been encouraged to upgrade to '3-Star' and above in order to cater to tourist
6_24,"Currently, there are 123 accommodation providers with a capacity of 2,749 rooms offering 5,464 bed nights consisting of 8 '5-Star', 7 '4-Star', 40 '3-Star', 54 '2-Star' and 19 '1-Star' category"
